PLANILHA DE PRODUÇÃO – JOGO SÉRIO BRUMAS (Build 1 – Entrega 19/04),,,,
,,,,
LEGENDA DE STATUS (aplicar cor na célula):,,,,
"Verde = Concluído | Amarelo = Em andamento | Vermelho = Não iniciado",,,,
,,,,
=== LINHA DE EXEMPLO (COMO PREENCHER) ===,,,,
Data,André Henriques,Antonio Araujo,Arthur Doffémond,Laura Alairce
"12/04 – 18/04 (Descrição + Commit 2)","Criar AudioManager.cs (singleton): gerenciar música de fundo, SFX e narração. Implementar métodos: PlayNarration(AudioClip), PlaySFX(string sfxName), PlayMusic(AudioClip), StopAll(). Criar AudioMixer com 3 grupos (Music, SFX, Narration). Integrar com NarrativeManager para tocar narração automática a cada trecho. Adicionar SFX para cliques em botões e transições. Commit: [INSERIR LINK]","No GIMP/Blender: criar materiais com cores sólidas da paleta (amarelo, marrom, verde). Aplicar em todos os modelos do cenário. Ajustar iluminação da cena no Unity (luz direcional quente). Configurar câmera para enquadramento adequado do cenário. Testar visual no editor e em dispositivo mobile. Commit: [INSERIR LINK]","Criar NavigationUI.cs: botão Avançar (próximo trecho), botão Voltar (trecho anterior), botão Reler (replay trecho atual). Posicionar botões na parte inferior da tela. Implementar animações de feedback (scale bounce). Integrar com NarrativeManager: Avançar chama AdvanceToNext(), Voltar chama GoBack(), Reler chama ReplayFragment(). Desabilitar Voltar no primeiro trecho. Commit: [INSERIR LINK]","Criar no GIMP: imagens de background para diferentes momentos do dia (manhã, tarde, entardecer). Criar frame decorativo para área de texto narrativo. Criar separadores visuais entre trechos. Criar assets para transições (fade overlay). Exportar como PNG otimizado para mobile (compressão adequada). Commit: [INSERIR LINK]"
"12/04 – 18/04 (Tarefa 3)","Integração geral de todos os sistemas + responsividade mobile","Implementar cenário dinâmico no Unity (muda conforme história)","Implementar transições visuais entre cenas/trechos","Revisão final do roteiro + testes de fluxo narrativo"
"12/04 – 18/04 (Descrição + Commit 3)","Integrar todos os sistemas: Menu → Seleção → Narrativa → Escolhas → Histórico → Áudio. Testar fluxo completo do início ao fim. Ajustar Canvas Scaler e layout para diferentes resoluções mobile (16:9, 18:9, 20:9). Testar em pelo menos 2 dispositivos/resoluções. Corrigir bugs de integração. Otimizar performance (target 30fps em mobile). Commit: [INSERIR LINK]","Criar ScenarioController.cs: alterar iluminação, skybox e objetos visíveis conforme trecho da história. Mapear quais modelos aparecem em cada momento (ex: manhã=sol forte+casas iluminadas, tarde=sol baixo+sombras, evento=escuro+poeira). Integrar com NarrativeManager para trigger automático. Testar todas as variações visuais. Commit: [INSERIR LINK]","Criar TransitionEffect.cs: fade to black, crossfade, slide. Usar CanvasGroup alpha para fade in/out (0.5s duração). Integrar com SceneNavigator e NarrativeManager. Adicionar SFX de transição (whoosh ou similar). Testar todas as transições entre trechos da história. Garantir que não há flickering ou delay visível. Commit: [INSERIR LINK]","Testar todos os caminhos narrativos no jogo. Verificar ortografia e coerência textual. Validar que todas as escolhas levam a trechos corretos. Verificar que não há dead ends. Testar experiência de leitura em tela mobile. Documentar bugs encontrados. Ajustar textos conforme necessário. Commit: [INSERIR LINK]"
"12/04 – 18/04 (Tarefa 4)","Preparar e gerar build APK final + testes","Finalizar GDR completo para entrega","Testes finais de mecânicas e correção de bugs","Preparar documento de apresentação do projeto"
"12/04 – 18/04 (Descrição + Commit 4)","Configurar Build Settings: Android, ARM64, IL2CPP. Configurar ícone do app e splash screen. Gerar APK de teste. Instalar e testar em dispositivo real. Corrigir bugs críticos encontrados. Gerar build final. Documentar versão e changelog. Commit: [INSERIR LINK]","Revisar e finalizar GDR completo: visão geral, gameplay, narrativa, arte, técnico, cronograma. Adicionar screenshots do jogo atual. Incluir paleta de cores final com exemplos aplicados. Incluir link do moodboard do Pinterest. Exportar versão final em PDF. Commit: [INSERIR LINK]","Testar todas as mecânicas: navegação entre cenas, sistema de escolhas, histórico, botões de navegação, transições, áudio. Listar bugs encontrados com prioridade (crítico/alto/médio/baixo). Corrigir bugs críticos e altos. Verificar performance em mobile. Documentar bugs restantes para próximo sprint. Commit: [INSERIR LINK]","Criar documento/apresentação resumindo: conceito do jogo, público-alvo, decisões de design, estado atual, próximos passos. Incluir screenshots e fluxograma narrativo. Preparar material para validação com instituição parceira. Commit: [INSERIR LINK]"
,,,,
=== SEMANA 3: 19/04 – 25/04 (Pós-entrega + Melhorias) ===,,,,
Data,André Henriques,Antonio Araujo,Arthur Doffémond,Laura Alairce
"19/04 – 25/04 (Tarefa 1)","Corrigir bugs reportados na build 1 + otimização de performance","Refinar modelos 3D do cenário (detalhes adicionais)","Implementar sistema de save/load de progresso","Expandir narrativa com trechos adicionais e detalhes"
"19/04 – 25/04 (Descrição + Commit 1)","Analisar feedback da entrega. Corrigir todos os bugs críticos reportados. Otimizar carregamento de cenas (loading screen). Melhorar performance de renderização. Revisar memory leaks. Testar correções em dispositivo mobile. Commit: [INSERIR LINK]","Adicionar detalhes aos modelos existentes: vegetação adicional, objetos de cenário (bancos, postes, carros), detalhes na barragem. Manter estilo low poly. Otimizar contagem de polígonos para mobile (<50k total). Commit: [INSERIR LINK]","Criar SaveSystem.cs: salvar progresso atual (trecho, decisões tomadas) em JSON local. Implementar auto-save a cada escolha. Criar tela de Continue/New Game no menu. Testar save/load em múltiplos dispositivos. Commit: [INSERIR LINK]","Adicionar trechos de transição entre atos. Aprofundar descrições de ambiente e emoções. Adicionar diálogos com personagens secundários. Revisar todo o texto com foco em acessibilidade (linguagem clara). Commit: [INSERIR LINK]"
,,,,
=== SEMANA 4: 26/04 – 02/05 (Polimento + Próximo Ciclo) ===,,,,
Data,André Henriques,Antonio Araujo,Arthur Doffémond,Laura Alairce
"26/04 – 02/05 (Tarefa 1)","Implementar acessibilidade (tamanho de fonte, contraste, narração automática)","Criar assets adicionais para novos trechos narrativos","Polir transições e efeitos visuais","Pesquisar e documentar próximas histórias/personagens"
"26/04 – 02/05 (Descrição + Commit 1)","Implementar opção de aumentar/diminuir fonte. Garantir contraste mínimo AA (WCAG). Adicionar narração automática como opção. Implementar modo daltônico (ajuste de paleta). Testar com usuários de diferentes idades. Commit: [INSERIR LINK]","Criar modelos adicionais conforme novos trechos: objetos interativos, personagens secundários (silhuetas low poly), elementos de ambiente específicos. Criar animações simples (água fluindo, folhas, poeira). Commit: [INSERIR LINK]","Melhorar efeitos de transição: adicionar partículas, melhorar fade timing. Implementar efeitos de câmera (zoom leve, pan). Adicionar screen shake para momento do rompimento. Polir todos os feedbacks visuais de botões. Commit: [INSERIR LINK]","Pesquisar relatos e histórias reais de sobreviventes (com respeito e sensibilidade). Documentar possíveis novos personagens para builds futuras. Criar estrutura narrativa base para segundo personagem. Validar abordagem com instituição parceira. Commit: [INSERIR LINK]"
